idx,image_path,gt_answer,pass_count,runs,pass_rate,keep,cod_preview,predictions_preview
10,./geothought_images/geothought_00010.jpg,124,5,5,1.0,True,"\angle DCE = \angle BAD \quad (exterior angle of cyclic quadrilateral ABCD)
\angle DCE = 62^\circ \implies \angle BAD = 62^\circ
\angle BAD = \frac{1}{2} \operatorname{arc}(BD) = \frac{1}{2} x \quad (",124 || 124 || 124
11,./geothought_images/geothought_00011.jpg,25,5,5,1.0,True,"AB \parallel CD \land AE \text{ transversal} \implies \angle A = \angle DOE
\angle A = 50^\circ \implies \angle DOE = 50^\circ
OC = OE \implies \angle C = \angle E = x
\angle DOE = \angle C + \angle E",25° || 25° || 25°
12,./geothought_images/geothought_00012.jpg,120,5,5,1.0,True,"AO = OC
BO \perp AC
\angle AOB = 90^\circ
\angle BAC = 60^\circ
\angle OAB = \angle CAB = 60^\circ
\angle ABO = 180^\circ - \angle OAB - \angle AOB = 30^\circ
AD = AO
\angle OAD = 180^\circ - \angle O",120 || 120 || 120
13,./geothought_images/geothought_00013.jpg,40,5,5,1.0,True,"\angle CAB = \angle 1 = 70^\circ
AC = BC \implies \angle CBA = \angle CAB
\angle CBA = \angle CAB = 70^\circ
\angle 2 + \angle CAB + \angle CBA = 180^\circ
\angle 2 = 180^\circ - \angle CAB - \angle C",40 || 40 || 40
14,./geothought_images/geothought_00014.jpg,45,5,5,1.0,True,"Let \angle A = x
AB = AC \implies \angle ABC = \angle ACB
\angle ABC + \angle ACB + x = 180^\circ
\angle ABC = \angle ACB = \frac{180^\circ - x}{2}
BC = BD \implies \angle BCD = \angle BDC
\angle BCD ",45 || 45° || 45
15,./geothought_images/geothought_00015.jpg,360,5,5,1.0,True,"设中间三个对顶角 \angle 1, \angle 2, \angle 3 构成一个三角形，则 \angle 1 + \angle 2 + \angle 3 = 180^\circ
\angle A + \angle D + \angle 1 = 180^\circ \implies \angle A + \angle D = 180^\circ - \angle 1
\angle E + \an",360° || 360° || 360°
16,./geothought_images/geothought_00016.jpg,42,5,5,1.0,True,"ACDE \text{ square} \implies \angle ACD = 90^\circ
BCFGH \text{ regular pentagon} \implies \angle BCF = \frac{(5-2)\cdot 180^\circ}{5} = 108^\circ
\angle ACB = 120^\circ
\angle ACD + \angle DCF + \ang",42 || 42 || 42
17,./geothought_images/geothought_00017.jpg,48,5,5,1.0,True,"\angle CDE = 108^\circ \implies \angle EDF = 180^\circ - \angle CDE = 72^\circ
\angle EFG = 120^\circ \implies \angle EFD = 180^\circ - \angle EFG = 60^\circ
\angle DEF + \angle EDF + \angle EFD = 180",48° || 48° || 48°
18,./geothought_images/geothought_00018.jpg,40,5,5,1.0,True,"m\angle ACB = \tfrac{1}{2} m\angle AOB
m\angle AOB = 80.0^\circ
m\angle ACB = \tfrac{1}{2} \cdot 80.0^\circ = 40.0^\circ",40.0° || 40.0 || 40.0°
19,./geothought_images/geothought_00019.jpg,25,5,5,1.0,True,"In \triangle ABD, E \text{ is midpoint of } AB, P \text{ is midpoint of } BD \implies EP \parallel AD \land EP = \tfrac{1}{2}AD
In \triangle BCD, F \text{ is midpoint of } CD, P \text{ is midpoint of ",25 || 25 || 25
20,./geothought_images/geothought_00020.jpg,72,5,5,1.0,True,"\frac{(5-2)\cdot 180^\circ}{5} = 108^\circ
l_3 \parallel l_1 \parallel l_2; \angle 3 = \angle(\overline{BA}, l_3); \angle 4 = \angle(BC, l_3)
l_1 \parallel l_3 \land BA \text{ transversal} \implies \a",72° || 72° || 72°
21,./geothought_images/geothought_00021.jpg,20,5,5,1.0,True,"\angle BAD = 180^\circ - \angle B = 180^\circ - 60^\circ = 120^\circ
\angle BAE = \angle EAD = \frac{1}{2}\angle BAD = 60^\circ
AD \parallel BC \implies \angle AEB = \angle EAD = 60^\circ
\angle BAE =",20 || 20 || 20
22,./geothought_images/geothought_00022.jpg,70,5,5,1.0,True,"D \text{ is midpoint of } AB \land E \text{ is midpoint of } AC \implies DE \parallel BC
\angle A = 60^\circ \land \angle B = 50^\circ \implies \angle C = 180^\circ - \angle A - \angle B = 70^\circ
DE",70 || 70 || 70
23,./geothought_images/geothought_00023.jpg,22,5,5,1.0,True,"\angle DAB + \angle ADC = 180^\circ \implies \angle DAB = 180^\circ - \angle ADC
\angle ADC = 135^\circ \implies \angle DAB = 180^\circ - 135^\circ = 45^\circ
\angle DAB = \angle CAD + \angle CAB
\ang",22° || 22° || 22°
24,./geothought_images/geothought_00024.jpg,20,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle B + \angle C = 180^\circ
\angle B = 70^\circ \implies \angle C = 180^\circ - 70^\circ = 110^\circ
\angle D = \angle B = 70^\circ
AE \perp CD \implies \angle ",20 || 20 || 20
25,./geothought_images/geothought_00025.jpg,34,5,5,1.0,True,"\angle BAD + \angle ABC = 180^\circ
\angle ABC = 125^\circ \implies \angle BAD = 180^\circ - 125^\circ = 55^\circ
\angle BAD = \angle CAB + \angle CAD
\angle CAD = 21^\circ
\angle CAB = \angle BAD - \",34° || 34° || 34°
26,./geothought_images/geothought_00026.jpg,70,5,5,1.0,True,"AB = AC \implies \angle ABC = \angle ACB
Let \angle ABC = \angle ACB = x
In \triangle ABC: \angle A + \angle ABC + \angle ACB = 180^\circ
40^\circ + x + x = 180^\circ
2x = 140^\circ
x = 70^\circ
\angl",70 || 70 || 70°
27,./geothought_images/geothought_00027.jpg,60,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A = \angle C
\angle A = 60^\circ \implies \angle C = 60^\circ",60 || 60 || 60
28,./geothought_images/geothought_00028.jpg,65,5,5,1.0,True,"In \triangle ABC, E \text{ is midpoint of } AB \land D \text{ is midpoint of } AC \implies ED \parallel BC
ED \parallel BC \implies \angle AED = \angle ABC
\angle AED = 30^\circ \implies \angle ABC = ",65° || 65 || 65°
29,./geothought_images/geothought_00029.jpg,35,5,5,1.0,True,"BD = BC \implies \angle BCD = \angle BDC
\angle C = 55^\circ \implies \angle BDC = 55^\circ
AB \parallel CD \land BD \text{ transversal} \implies \angle ABD = \angle BDC
AE \perp BD \implies \angle AE",35° || 35° || 35°
30,./geothought_images/geothought_00030.jpg,115,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A = \angle C \land \angle B = \angle D \land \angle A + \angle B = 180^\circ
\angle A + \angle C = 130^\circ \land \angle A = \angle C \implies \angle A = \a",115° || 115° || 115°
31,./geothought_images/geothought_00031.jpg,70,5,5,1.0,True,"ABCD \text{ is a parallelogram} \implies \angle B = \angle D
\angle B = 70^\circ \implies \angle D = \angle B = 70^\circ
\angle D = 70^\circ",70 || 70° || 70°
32,./geothought_images/geothought_00032.jpg,100,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A = \angle C
\angle A = \angle C \land (\angle A + \angle C) = 160^\circ \implies \angle A = 80^\circ
\angle A + \angle B = 180^\circ
\angle B = 180^\circ - ",100° || 100° || 100°
33,./geothought_images/geothought_00033.jpg,130,5,5,1.0,True,"ABCD \text{ is a parallelogram} \implies \angle B = \angle D
\angle B = \angle D \land (\angle B + \angle D) = 100^\circ \implies 2\angle B = 100^\circ \implies \angle B = 50^\circ
\angle A + \angle B",130° || 130° || 130°
34,./geothought_images/geothought_00034.jpg,110,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle B = \angle D \land \angle A = \angle C \land \angle B + \angle C = 180^\circ
Given \angle B + \angle D = 140^\circ \land \angle B = \angle D \implies 2\angle",110 || 110 || 110°
35,./geothought_images/geothought_00035.jpg,40,5,5,1.0,True,"AD \parallel BC \implies \angle BAD \text{ and } \angle ABC \text{ are supplementary} \implies \angle BAD + \angle ABC = 180^\circ
\angle ABC = 180^\circ - \angle BAD = 180^\circ - 115^\circ = 65^\cir",40° || 40° || 40°
36,./geothought_images/geothought_00036.jpg,40,5,5,1.0,True,"\angle 1 + \angle 2 + \angle 3 + \angle 4 = 360^\circ
\angle 2 + \angle 3 + \angle 4 = 320^\circ
\angle 1 = 360^\circ - (\angle 2 + \angle 3 + \angle 4) = 360^\circ - 320^\circ = 40^\circ",40 || 40 || 40
37,./geothought_images/geothought_00037.jpg,150,5,5,1.0,True,"ABCD \text{ is a parallelogram} \implies \angle A = \angle C
\angle A = 150^\circ
\angle A = \angle C \land \angle A = 150^\circ \implies \angle C = 150^\circ",150 || 150 || 150
38,./geothought_images/geothought_00038.jpg,80,5,5,1.0,True,"ABCD \text{ is a parallelogram} \implies \angle B = \angle D
\angle B + \angle D = 200^\circ \land \angle B = \angle D \implies 2\angle B = 200^\circ
2\angle B = 200^\circ \implies \angle B = 100^\cir",80 || 80 || 80°
39,./geothought_images/geothought_00039.jpg,15,5,5,1.0,True,"AB = BD \implies \angle BAD = \angle ADB
\angle ADB = 65^\circ \implies \angle BAD = 65^\circ
\angle ABD = 180^\circ - \angle BAD - \angle ADB = 180^\circ - 65^\circ - 65^\circ = 50^\circ
AB \parallel",15 || 15 || 15
40,./geothought_images/geothought_00040.jpg,60,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle ABC = \angle D
\angle D = 120^\circ \implies \angle ABC = 120^\circ
M \text{ on extension of } AB \implies \angle ABC + \angle CBM = 180^\circ
\angle ABC = 1",60° || 60° || 60°
41,./geothought_images/geothought_00041.jpg,125,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A = \angle C,\ \angle B = \angle D,\ \angle A + \angle B = 180^\circ
\angle A + \angle C = 110^\circ \land \angle A = \angle C \implies 2\angle A = 110^\circ",125° || 125 || 125°
42,./geothought_images/geothought_00042.jpg,67,5,5,1.0,True,"AE = DE \implies \angle ADE = \angle DAE
Let x = \angle ADE = \angle DAE
\angle AED = 46^\circ
\angle ADE + \angle DAE + \angle AED = 180^\circ
x + x + 46^\circ = 180^\circ
2x = 134^\circ
x = 67^\circ",67 || 67 || 67
43,./geothought_images/geothought_00043.jpg,60,5,5,1.0,True,"ABCD \text{ is a parallelogram} \implies A = C \land B = D \land A + B = 180^\circ
\angle B = x \implies \angle A = 2x
\angle A + \angle B = 180^\circ \implies 2x + x = 180^\circ \implies 3x = 180^\ci",60° || 60° || 60°
44,./geothought_images/geothought_00044.jpg,120,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A = \angle C
ABCD \text{ parallelogram} \implies \angle A + \angle C = 120^\circ
\angle A = \angle C \land (\angle A + \angle C = 120^\circ) \implies 2\,\ang",120° || 120° || 120°
45,./geothought_images/geothought_00045.jpg,70,5,5,1.0,True,"\angle A = \angle BCD \land \angle A = 110^\circ \implies \angle BCD = 110^\circ
\angle 1 + \angle BCD = 180^\circ
\angle 1 = 180^\circ - \angle BCD
\angle 1 = 180^\circ - 110^\circ = 70^\circ",70° || 70° || 70°
46,./geothought_images/geothought_00046.jpg,50,5,5,1.0,True,"\angle AOB = 90^\circ \land \angle COD = 90^\circ
\angle AOC + \angle BOD = \angle AOB + \angle COD = 180^\circ
\angle AOC = 130.0^\circ
\angle BOD = 180^\circ - \angle AOC = 180^\circ - 130.0^\circ =",50.0 || 50.0 || 50.0
47,./geothought_images/geothought_00047.jpg,119,5,5,1.0,True,"\angle BAD = 180^\circ - \angle D = 180^\circ - 58^\circ = 122^\circ
\angle BAE = \angle EAD = \frac{\angle BAD}{2} = \frac{122^\circ}{2} = 61^\circ
AD \parallel BC \implies \angle EAD = \angle AEB = ",119° || 119° || 119°
48,./geothought_images/geothought_00048.jpg,70,5,5,1.0,True,"AB = AC \implies \angle ABC = \angle ACB
\angle A + \angle ABC + \angle ACB = 180^\circ, \quad \angle A = 40^\circ
Let x = \angle ABC = \angle ACB
40^\circ + x + x = 180^\circ
2x = 140^\circ \implies ",70 || 70 || 70
49,./geothought_images/geothought_00049.jpg,100,5,5,1.0,True,"\angle 1 \text{ and } \angle BCD \text{ are a linear pair} \implies \angle 1 + \angle BCD = 180^\circ
\angle 1 = 80^\circ \implies \angle BCD = 180^\circ - \angle 1 = 100^\circ
ABCD \text{ parallelogr",100° || 100° || 100°
50,./geothought_images/geothought_00050.jpg,120,5,5,1.0,True,"\angle C = \angle A = 60^\circ
DE \perp BC \implies \angle DEC = 90^\circ
BF \perp CD \implies \angle BFC = 90^\circ
\angle C + \angle CEH + \angle HFC + \angle EHF = 360^\circ
60^\circ + 90^\circ + 9",120° || 120° || 120°
51,./geothought_images/geothought_00051.jpg,80,5,5,1.0,True,"ABCD \text{ parallelogram} \implies AB \parallel CD \land BC \parallel AD
\angle A \text{ and } \angle B \text{ are consecutive} \implies \angle A + \angle B = 180^\circ
\angle A = 100^\circ \implies ",80 || 80 || 80
52,./geothought_images/geothought_00052.jpg,60,5,5,1.0,True,"\angle B = 70^\circ,\ \angle C = 50^\circ \implies \angle A = 180^\circ - \angle B - \angle C = 60^\circ
DE \parallel AC \land EF \parallel AB
DE \parallel AF \land EF \parallel AD \implies ADEF \text",60 || 60 || 60
53,./geothought_images/geothought_00053.jpg,110,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A = \angle C \land \angle B = \angle D
\angle A + \angle B = 180^\circ
\angle A + \angle C = 140^\circ
\angle A = \angle C \implies 2\angle A = 140^\circ
2\a",110° || 110° || 110°
54,./geothought_images/geothought_00054.jpg,80,5,5,1.0,True,"DB = DC \land \triangle DBC \text{ isosceles} \implies \angle DCB = \angle CBD
\angle B = 25^\circ \implies \angle DCB = 25^\circ
\angle CBD = \angle DCB = 25^\circ
\angle CDB = 180^\circ - \angle B -",80 || 80 || 80
55,./geothought_images/geothought_00055.jpg,210,5,5,1.0,True,"\angle ABC + \angle ACB = 150^\circ
\angle 1 = 180^\circ - \angle ABC
\angle 2 = 180^\circ - \angle ACB
\angle 1 + \angle 2 = (180^\circ - \angle ABC) + (180^\circ - \angle ACB)
\angle 1 + \angle 2 = ",210° || 210° || 210°
56,./geothought_images/geothought_00056.jpg,100,5,5,1.0,True,"In \triangle ABE, ∠AEC = ∠A + ∠B
∠A = 20^\circ, ∠B = 45^\circ ⇒ ∠AEC = 20^\circ + 45^\circ = 65^\circ
In \triangle EFC, ∠DFE is exterior: ∠DFE = ∠AEC + ∠C
∠C = 35^\circ, ∠AEC = 65^\circ ⇒ ∠DFE = 65^\c",100° || 100° || 100°
57,./geothought_images/geothought_00057.jpg,50,5,5,1.0,True,"BD \text{ is angle bisector of } \angle ABC \implies \angle DBA = \angle DBC
\angle DBA = 30^\circ \implies \angle DBC = 30^\circ
\angle ABC = \angle DBA + \angle DBC = 30^\circ + 30^\circ = 60^\circ
",50 || 50 || 50
58,./geothought_images/geothought_00058.jpg,360,5,5,1.0,True,"\angle A + \angle B + \angle C = 180^\circ
\angle D + \angle E + \angle F = 180^\circ
(\angle A + \angle B + \angle C) + (\angle D + \angle E + \angle F) = 360^\circ
\angle A + \angle B + \angle C + \",360 || 360 || 360
59,./geothought_images/geothought_00059.jpg,30,5,5,1.0,True,"\angle ABP = \angle PBC
\angle ABP = 20^\circ \implies \angle PBC = 20^\circ
\angle ABC = \angle ABP + \angle PBC = 20^\circ + 20^\circ = 40^\circ
Let ACM be the adjacent supplementary angle to \angle",30° || 30° || 30°
60,./geothought_images/geothought_00060.jpg,64,5,5,1.0,True,"B, C, D \text{ are collinear} \implies \angle ACB + \angle ACD = 180^\circ
\angle ACD = 120^\circ \implies \angle ACB = 180^\circ - \angle ACD = 60^\circ
\triangle ABC: \angle A + \angle B + \angle AC",64° || 64° || 64°
61,./geothought_images/geothought_00061.jpg,145,5,5,1.0,True,"\angle A + \angle B + \angle C = 180^\circ
110^\circ + \angle B + \angle C = 180^\circ
\angle B + \angle C = 70^\circ
\angle OBC = \frac{1}{2} \angle B
\angle OCB = \frac{1}{2} \angle C
\angle OBC + \",145° || 145° || 145°
62,./geothought_images/geothought_00062.jpg,40,5,5,1.0,True,"Tangent-Radius Theorem: OA \perp AC \implies \angle OAC = 90^\circ
OA = OB \implies \triangle OAB \text{ isosceles} \implies \angle OAB = \angle OBA
\angle B = 25^\circ \implies \angle OBA = 25^\circ
",40.0 || 40.0 || 40.0
63,./geothought_images/geothought_00063.jpg,25,5,5,1.0,True,"\angle AOC = 100^\circ \Rightarrow \angle COE = \tfrac{1}{2}\angle AOC = 50^\circ
BD \text{ is a straight line} \Rightarrow \angle COD = 180^\circ - \angle COE
\angle COD = 180^\circ - 50^\circ = 130^",25° || 25° || 25°
64,./geothought_images/geothought_00064.jpg,29,5,5,1.0,True,"BC \text{ diameter} \implies \angle BOC = 180^\circ
\angle AOC = 58^\circ \implies \text{arc } AC = 58^\circ
\text{arc AB} + \text{arc AC} = 180^\circ
\text{arc AC} = 58^\circ \implies \text{arc AB} =",29° || 29° || 29°
65,./geothought_images/geothought_00065.jpg,50,5,5,1.0,True,"OA = OB = OC
\angle BAC = 40^\circ
\angle BOC = 2 \times \angle BAC = 80^\circ
OB = OC \implies \angle OBC = \angle OCB
Let \angle OCB = x \implies \angle OBC = x
\angle BOC + \angle OBC + \angle OCB ",50 || 50° || 50°
66,./geothought_images/geothought_00066.jpg,50,5,5,1.0,True,"OA = OB \implies \angle OAB = \angle OBA
\angle ABO = 40^\circ \implies \angle OBA = 40^\circ
\angle OAB = \angle OBA = 40^\circ
\angle AOB + \angle OAB + \angle OBA = 180^\circ
\angle AOB = 180^\circ",50 || 50 || 50
67,./geothought_images/geothought_00067.jpg,30,5,5,1.0,True,"ABCD \text{ cyclic} \implies \angle ABC + \angle CDA = 180^\circ
\angle D = 120^\circ \implies \angle ABC = 180^\circ - \angle D = 60^\circ
AB \text{ diameter} \implies \angle ACB = 90^\circ
\angle CA",30° || 30° || 30°
68,./geothought_images/geothought_00068.jpg,23,5,5,1.0,True,"CD \text{ is a diameter} \implies \text{Arc } CD = 180^\circ
Arc CE = 92^\circ
\text{Arc } DE = \text{Arc } CD - \text{Arc } CE = 180^\circ - 92^\circ = 88^\circ
\angle EOD = 88^\circ
OD = OE \implies",23 || 23 || 23
69,./geothought_images/geothought_00069.jpg,58,5,5,1.0,True,"\angle AOC = 2 \angle B
\angle B = 32^\circ \implies \angle AOC = 64^\circ
OA = OC \implies \angle OAC = \angle OCA
\angle OAC = x \land \angle OCA = x
\angle AOC + \angle OAC + \angle OCA = 180^\circ",58° || 58° || 58°
70,./geothought_images/geothought_00070.jpg,80,5,5,1.0,True,"\alpha = \angle BAC,\quad \beta = \angle ABC,\quad \beta - \alpha = 40^\circ \Rightarrow \beta = \alpha + 40^\circ
\angle AOB \text{ subtends } AB,\quad \angle ACB \text{ subtends } AB \Rightarrow \an",80 || 80 || 80°
71,./geothought_images/geothought_00071.jpg,33,5,5,1.0,True,"\angle AOB \text{ is a central angle subtending arc } AB
\angle ACB \text{ is an inscribed angle subtending arc } AB
\angle ACB = \tfrac{1}{2} \angle AOB
\angle AOB = 66^\circ \implies \angle ACB = \t",33° || 33° || 33°
72,./geothought_images/geothought_00072.jpg,80,5,5,1.0,True,"\angle BCD + \angle BAD = 180^\circ
\angle BCD = 140^\circ \implies \angle BAD = 180^\circ - 140^\circ = 40^\circ
\text{measure of arc } BD = 2 \times \angle BAD = 2 \times 40^\circ = 80^\circ
\angle ",80 || 80 || 80
73,./geothought_images/geothought_00073.jpg,50,5,5,1.0,True,"m \overset{\frown}{BC} = m \angle BOC = 100^\circ
m \angle BAC = \frac{1}{2} \cdot m \overset{\frown}{BC}
m \angle BAC = \frac{1}{2} \cdot 100^\circ = 50^\circ",50° || 50° || 50°
74,./geothought_images/geothought_00074.jpg,15,5,5,1.0,True,"\angle ACB = 90^\circ
\angle ABC = \angle ADC
\angle ADC = 75^\circ \implies \angle ABC = 75^\circ
\angle BAC + \angle ABC + \angle ACB = 180^\circ
\angle BAC + 75^\circ + 90^\circ = 180^\circ
\angle ",15° || 15° || 15°
75,./geothought_images/geothought_00075.jpg,25,5,5,1.0,True,"OD \perp CD \implies \angle ODC = 90^\circ
In \triangle ODC, \angle OCD = 40^\circ, \angle ODC = 90^\circ \Rightarrow \angle DOC = 180^\circ - 90^\circ - 40^\circ = 50^\circ
OD = OB \implies \angle OD",25° || 25° || 25°
76,./geothought_images/geothought_00076.jpg,67.5,5,5,1.0,True,"ABCD \text{ cyclic} \implies \angle CBE = \angle ADC
\angle CBE = 45^\circ \implies \angle ADC = 45^\circ
DA = DC \implies \angle DAC = \angle DCA
Let x = \angle DAC \Rightarrow \angle DCA = x
\angle ",67.5 || 67.5 || 67.5
77,./geothought_images/geothought_00077.jpg,72,5,5,1.0,True,"\angle ACB \text{ inscribed on the circle} \implies \angle ACB \text{ intercepts arc } AB
\angle AOB \text{ central at } O \implies \angle AOB \text{ intercepts arc } AB
\angle AOB = 2 \cdot \angle AC",72° || 72° || 72°
78,./geothought_images/geothought_00078.jpg,40,5,5,1.0,True,"AB = AC \implies \triangle ABC \text{ isosceles with base } BC
\angle B = \angle C
\angle B = 70^\circ \implies \angle C = 70^\circ
\angle A + \angle B + \angle C = 180^\circ
\angle A = 180^\circ - (\",40° || 40° || 40°
79,./geothought_images/geothought_00079.jpg,60,5,5,1.0,True,"BD \text{ is the diameter of circle } O \implies OB = OD = OC
CD = OB \land OB = OD = OC \implies CD = OD = OC
OC = OD = CD \implies \triangle OCD \text{ is equilateral}
\angle COD = 60^\circ
\angle C",60° || 60° || 60°
80,./geothought_images/geothought_00080.jpg,160,5,5,1.0,True,"\angle A + \angle C = 180^\circ
\angle A = 100^\circ \implies \angle C = 180^\circ - 100^\circ = 80^\circ
\angle C \text{ inscribed on arc } BD \text{ and } \angle BOD \text{ central on arc } BD
\angl",160° || 160° || 160°
81,./geothought_images/geothought_00081.jpg,95,5,5,1.0,True,"\triangle OAD \cong \triangle OBC \implies \angle OAD = \angle OBC
In \triangle OBC, \angle O = 65.0^\circ, \angle C = 20.0^\circ, \angle OBC = x
65.0^\circ + x + 20.0^\circ = 180^\circ
x = 180^\circ ",95.0 || 95.0 || 95.0
82,./geothought_images/geothought_00082.jpg,64,5,5,1.0,True,"∠B \text{ inscribed} \implies B \in \mathcal{C}, BA, BC \text{ are chords}
∠AOC \text{ central} \implies O \text{ center}, OA, OC \text{ are radii}
∠B, ∠AOC \text{ intercept arc } AC
m\angle AOC = 2 \",64° || 64° || 64°
83,./geothought_images/geothought_00083.jpg,54,5,5,1.0,True,"AB \text{ is diameter of circle } O \implies \angle ACB = 90^\circ
\angle BAC = \angle BDC = 36^\circ
\angle ABC = 180^\circ - \angle ACB - \angle BAC
180^\circ - \angle ACB - \angle BAC = 180^\circ -",54 || 54 || 54
84,./geothought_images/geothought_00084.jpg,25,5,5,1.0,True,"\angle AOC = 100^\circ \implies \overset{\frown}{AC} = 100^\circ
BD \perp AC \land BD \text{ diameter} \implies \overset{\frown}{AB} = \overset{\frown}{BC}
\overset{\frown}{AC} = 100^\circ \implies \o",25° || 25° || 25°
85,./geothought_images/geothought_00085.jpg,41,5,5,1.0,True,"\angle AOB \text{ central} \implies m(\widehat{AB}) = 82^\circ
\angle ACB \text{ inscribed intercepts } \widehat{AB} \implies \angle C = \tfrac{1}{2} m(\widehat{AB})
m(\widehat{AB}) = 82^\circ \implie",41 || 41 || 41
86,./geothought_images/geothought_00086.jpg,110,5,5,1.0,True,"AB \text{ diameter of } O \implies \angle ACB = 90^\circ
\angle CAB = 20^\circ, \angle ACB = 90^\circ \implies \angle ABC = 180^\circ - 20^\circ - 90^\circ = 70^\circ
ABCD \text{ cyclic} \implies \ang",110 || 110° || 110
87,./geothought_images/geothought_00087.jpg,20,5,5,1.0,True,"\angle ADC = 35^\circ \text{ inscribed} \implies \widehat{AC} = 2 \cdot 35^\circ = 70^\circ
OA \perp BC \text{ at } E \implies OA \text{ bisects arc } \widehat{BC} \implies \widehat{AB} = \widehat{AC}",20 || 20° || 20°
88,./geothought_images/geothought_00088.jpg,34,5,5,1.0,True,"AB \text{ is the diameter of circle } O \implies \angle ADB = 90^\circ
In \triangle ADB, \angle BAD = 56^\circ, \angle ADB = 90^\circ \implies \angle ABD = 180^\circ - \angle BAD - \angle ADB = 180^\c",34° || 34° || 34°
89,./geothought_images/geothought_00089.jpg,25,5,5,1.0,True,"OC \perp AB \text{ at } H \implies \angle OHA = 90^\circ
In \triangle OHA, \angle OAB = 40^\circ
\angle AOH = 180^\circ - \angle OHA - \angle OAB = 180^\circ - 90^\circ - 40^\circ = 50^\circ
OA = OC \",25 || 25 || 25°
90,./geothought_images/geothought_00090.jpg,100,5,5,1.0,True,"AB \text{ is a diameter of } \odot O \implies \angle ACB = 90^\circ
\angle ABC = 20^\circ \land \angle ACB = 90^\circ \implies \angle BAC = 90^\circ - 20^\circ = 70^\circ
\angle BAC \text{ intercepts ",100° || 100° || 100°
