idx,image_path,gt_answer,pass_count,runs,pass_rate,keep,cod_preview,predictions_preview
27,./geothought_images/geothought_00027.jpg,60,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A \cong \angle C
\angle A = 60^\circ
\angle A \cong \angle C \land \angle A = 60^\circ \implies \angle C = 60^\circ
\angle C = 60^\circ",60 || 60 || 60
28,./geothought_images/geothought_00028.jpg,65,5,5,1.0,True,"E \text{ is midpoint of } AB \land D \text{ is midpoint of } AC \implies ED \parallel BC
ED \parallel BC \implies \angle ABC = \angle AED = 30^\circ
\angle A = 35^\circ, \angle ABC = 30^\circ \implies",65 || 65 || 65°
29,./geothought_images/geothought_00029.jpg,35,5,5,1.0,True,"BD = BC \Rightarrow \triangle BCD \text{ isosceles with base } DC \Rightarrow \angle BCD = \angle BDC
\angle C = 55^\circ \Rightarrow \angle BDC = 55^\circ
AB \parallel CD \text{ and } BD \text{ is a ",35 || 35 || 35
30,./geothought_images/geothought_00030.jpg,115,5,5,1.0,True,"\angle A = \angle C \quad (\text{opposite angles in parallelogram})
\angle B = \angle D \quad (\text{opposite angles in parallelogram})
\angle A + \angle B = 180^\circ \quad (\text{consecutive angles ",115° || 115° || 115°
31,./geothought_images/geothought_00031.jpg,70,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle B = \angle D
\angle B = 70^\circ \implies \angle D = \angle B = 70^\circ
\angle D = 70^\circ",70 || 70 || 70
32,./geothought_images/geothought_00032.jpg,100,5,5,1.0,True,"\angle A = \angle C
\angle A = \angle C \land \angle A + \angle C = 160^\circ \implies 2\angle A = 160^\circ \implies \angle A = 80^\circ
\angle A + \angle B = 180^\circ
\angle B = 180^\circ - \angle ",100° || 100° || 100°
33,./geothought_images/geothought_00033.jpg,130,5,5,1.0,True,"ABCD \text{ is a parallelogram} \implies \angle B = \angle D
\angle B = \angle D \land (\angle B + \angle D = 100^\circ) \implies 2\angle B = 100^\circ
\angle B = 50^\circ
\angle D = 50^\circ
\angle A",130° || 130° || 130°
34,./geothought_images/geothought_00034.jpg,110,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle B = \angle D \land \angle A = \angle C \land \angle B + \angle C = 180^\circ
\angle B = \angle D \land \angle B + \angle D = 140^\circ \implies 2\angle B = 1",110° || 110 || 110
35,./geothought_images/geothought_00035.jpg,40,5,5,1.0,True,"\angle BAD = 115^\circ \implies \angle ABC = 180^\circ - \angle BAD = 65^\circ
\angle ADC = \angle ABC = 65^\circ
\angle ADB = \angle DBC = 25^\circ
\angle ADC = \angle ADB + \angle BDC \implies \angl",40° || 40° || 40°
36,./geothought_images/geothought_00036.jpg,40,5,5,1.0,True,"\angle 1 + \angle 2 + \angle 3 + \angle 4 = 360^\circ
\angle 2 + \angle 3 + \angle 4 = 320^\circ
\angle 1 = 360^\circ - (\angle 2 + \angle 3 + \angle 4) = 360^\circ - 320^\circ = 40^\circ",40 || 40 || 40
37,./geothought_images/geothought_00037.jpg,150,5,5,1.0,True,"ABCD \text{ is a parallelogram} \implies \angle A = \angle C
\angle A = 150^\circ \implies \angle C = 150^\circ
\angle C = 150^\circ",150 || 150 || 150
38,./geothought_images/geothought_00038.jpg,80,5,5,1.0,True,"ABCD \text{ is a parallelogram} \implies \angle B = \angle D
\angle B = \angle D \land \angle B + \angle D = 200^\circ \implies 2\angle B = 200^\circ \implies \angle B = 100^\circ
\angle A + \angle B ",80 || 80 || 80
39,./geothought_images/geothought_00039.jpg,15,5,5,1.0,True,"AB = BD ∧ \triangle ABD \text{ isosceles} \implies \angle BAD = \angle ADB
\angle ADB = 65^\circ \implies \angle BAD = 65^\circ
\angle ABD = 180^\circ - \angle BAD - \angle ADB = 180^\circ - 65^\circ ",15 || 15° || 15
40,./geothought_images/geothought_00040.jpg,60,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle ABC = \angle D
\angle D = 120^\circ \implies \angle ABC = 120^\circ
M \text{ on extension of } AB \implies \angle ABC \text{ and } \angle CBM \text{ form a l",60° || 60° || 60°
41,./geothought_images/geothought_00041.jpg,125,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A = \angle C \land \angle B = \angle D \land \angle A + \angle B = 180^\circ
\angle A + \angle C = 110^\circ \land \angle A = \angle C \implies \angle A = \a",125 || 125 || 125
42,./geothought_images/geothought_00042.jpg,67,5,5,1.0,True,"AE = DE \implies \angle ADE = \angle DAE
\triangle ADE: \angle ADE + \angle DAE + \angle E = 180^\circ, \ \angle E = 46^\circ
Let \angle ADE = \angle DAE = x. Then 2x + 46^\circ = 180^\circ \implies x",67° || 67° || 67°
43,./geothought_images/geothought_00043.jpg,60,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A + \angle B = 180^\circ \land \angle A = \angle C \land \angle B = \angle D
\angle B = x \implies \angle A = 2x
2x + x = 180^\circ
3x = 180^\circ \implies x",60° || 60° || 60°
44,./geothought_images/geothought_00044.jpg,120,5,5,1.0,True,"ABCD \text{ parallelogram} \implies \angle A = \angle C \land \angle B = \angle D
\angle A + \angle D = 180^\circ
Let \(x = \angle A = \angle C\). Given \(\angle A + \angle C = 120^\circ \implies x + ",120° || 120° || 120°
45,./geothought_images/geothought_00045.jpg,70,5,5,1.0,True,"\angle A = \angle BCD \quad (\text{parallelogram opposite angles})
\angle A = 110^\circ \implies \angle BCD = 110^\circ
\angle 1 + \angle BCD = 180^\circ \quad (\text{linear pair; supplementary})
\ang",70 || 70 || 70
46,./geothought_images/geothought_00046.jpg,50,5,5,1.0,True,"\angle AOB = 90^\circ \land \angle COD = 90^\circ
\angle AOC = \angle AOB + \angle BOC, \quad \angle BOD = \angle COD - \angle BOC
\angle AOC + \angle BOD = \angle AOB + \angle COD
\angle AOB + \angle",50.0 || 50.0 || 50.0
47,./geothought_images/geothought_00047.jpg,119,5,5,1.0,True,"\angle D = 58^\circ \implies \angle BAD = 180^\circ - \angle D = 122^\circ
\angle BAD = 122^\circ \implies \angle BAE = \angle EAD = \frac{\angle BAD}{2} = 61^\circ
AD \parallel BC, E \in BC, AE \text",119° || 119° || 119°
48,./geothought_images/geothought_00048.jpg,70,5,5,1.0,True,"AB = AC \implies \angle ABC = \angle ACB
\angle A + \angle ABC + \angle ACB = 180^\circ
Let \angle ABC = \angle ACB = x
40^\circ + x + x = 180^\circ
2x = 140^\circ
x = 70^\circ
\angle ACB = 70^\circ
D",70 || 70 || 70
49,./geothought_images/geothought_00049.jpg,100,5,5,1.0,True,"\angle 1 + \angle BCD = 180^\circ
\angle 1 = 80^\circ \implies \angle BCD = 100^\circ
ABCD \text{ is a parallelogram} \implies \angle A = \angle BCD
\angle A = \angle BCD = 100^\circ",100° || 100° || 100°
